PRICEK,DSALE,BEDROOM,SQFTK,LN_LOTSIZE,CENTRALAIR,BRICK,GARAGE,FIREPLACE,BASE_FIN,MASONRY,PUBOPEN,MICHLAKE,LAKE_RIVER,METRA_DIST,RAIL_DIST
351.9999984,0,2,0.958,8.229511119,1,1,2,0,0,1,0,0,0,1.21974,0.95948
364.9999991,0,3,1.07,8.229511119,1,1,2,0,0,1,0,0,0,0.74017,0.61719
319.9999985,0,3,1.07,8.229511119,1,1,2,0,1,1,0,0,0,0.83809,0.66579
386.9999992,1,3,1.562,8.383661799,1,1,2,0,1,1,0,0,0,0.81217,0.65004
465.9999986,0,4,1.403,8.720134035,1,1,1,0,1,1,0,0,0,0.88406,0.69229
384.9999987,0,3,1.334,8.50471567,1,1,3,0,1,1,0,0,0,0.74644,0.60452
364.0000012,0,3,1.083,8.634976227,1,1,2,0,1,0,0,0,0,1.04131,0.80685
379.9999994,0,4,1.446,8.411832676,1,1,2,1,0,1,0,0,0,1.01001,0.81365
374.9999981,0,2,0.967,8.411832676,1,1,2,0,0,1,0,0,0,0.99635,0.80273
394.9999985,0,3,1.066,8.425516403,1,1,2,0,0,1,0,0,0,1.07613,0.85611
10,0,4,2.366,9.072456665,1,0,2,0,0,1,0,0,0,0.59531,0.32089
435,0,3,1.275,8.794824928,0,0,2,2,0,0,0,0,0,0.49198,0.26016
349.9999988,0,3,1.196,8.283999304,0,1,2,0,0,1,0,0,0,0.59702,0.38879
340.0000012,0,4,1.999,9.058004711,0,0,2,2,0,1,0,0,0,0.54894,0.3722
451.0000007,0,4,1.913,8.168486417,1,1,1,1,1,0,0,0,0,0.3639,0.26433
412.9999992,0,3,1.145,8.571681377,1,1,4,0,0,1,0,0,0,0.63191,0.43812
410.0000005,0,3,1.404,8.741136423,1,1,2,0,1,0,0,0,0,0.66018,0.48104
498.9999976,0,3,1.083,8.684231891,1,1,2,1,0,1,0,0,0,0.5392,0.43319
353.9999993,0,3,1.246,8.307705967,1,1,2,1,0,1,0,0,0,0.37757,0.27516
460.0000007,0,3,1.244,8.525161361,1,1,2,0,1,1,0,0,0,0.46056,0.34403
449.9999992,0,3,1.34,8.572060093,1,1,1,0,1,1,0,0,0,0.51556,0.38771
379.9999994,0,3,1.065,8.853665428,1,0,2,0,0,0,0,0,0,0.38899,0.14535
400.0000016,0,4,1.586,8.853665428,1,0,2,0,0,0,0,0,0,0.33567,0.14274
277.9999993,0,4,1.02,8.03915739,1,1,2,0,0,1,1,0,0,1.00829,0.76271
585.0000022,0,4,1.892,8.614682813,1,1,2,1,0,1,0,0,0,0.56262,0.45258
449.9999992,0,3,1.427,8.589513853,1,1,2,1,0,1,1,0,0,0.75026,0.58813
369.9999983,0,4,0.849,8.331827004,1,1,0,0,0,1,1,0,0,0.88481,0.69171
368.000001,0,3,1.652,8.780018888,1,1,1,0,0,1,1,0,0,0.83554,0.65696
444.9999995,1,4,1.536,8.556413905,0,0,2,1,0,0,1,0,0,0.80107,0.63284
527.4999977,0,3,1.966,8.902455592,1,1,2,0,0,1,0,0,0,0.43816,0.35427
485,0,3,1.286,8.902455592,1,1,2,0,0,1,0,0,0,0.40042,0.33413
364.9999991,0,2,1.04,8.675904883,0,1,2,0,0,1,1,0,0,0.61113,0.48155
559.9999985,0,3,1.513,8.679312041,1,1,2,0,0,1,0,0,0,0.55552,0.46494
591.9999977,0,4,2.557,8.458292083,1,1,2,1,0,1,0,0,0,0.61248,0.49338
400.0000016,0,5,1.968,8.459564079,1,1,1,1,0,1,0,0,0,0.70728,0.53438
390.0000007,0,4,2.919,8.459564079,1,1,2,1,1,1,0,0,0,0.7226,0.54359
305.0000013,0,2,0.732,8.43511508,1,1,1,0,0,1,0,0,0,0.77581,0.57304
754.0000023,0,4,1.013,8.614682813,1,1,2,0,0,1,1,0,0,0.23579,0.21347
500.0000013,0,3,3.952,9.084777149,1,0,2,0,1,1,0,0,0,0.32153,0.26433
464.9999979,0,3,1.488,8.391629968,1,1,2,1,0,1,0,0,0,0.34952,0.31122
435,0,3,1.584,8.902455592,1,0,2,1,0,0,0,0,0,0.36869,0.2917
530.0000024,0,4,2.073,8.614682813,1,1,2,0,0,1,0,0,0,0.43808,0.37142
440.0000018,0,3,2.01,8.424419791,0,1,1,0,0,1,0,0,0,0.36344,0.31169
369.9999983,1,4,1.512,8.779557456,1,0,2,0,0,0,0,0,0,0.56475,0.42966
384.9999987,0,4,1.672,8.531096097,1,1,2,0,0,1,0,0,0,0.6676,0.50819
419.9999999,0,3,1.15,8.364042012,1,1,1,1,0,1,0,0,0,0.60561,0.47298
